strain,stress,strain_rate,temperature
1e-05,0.181995783,50000000,450
2e-05,0.261034186,50000000,450
3e-05,0.273504427,50000000,450
4e-05,0.293977837,50000000,450
5e-05,0.281293762,50000000,450
6e-05,0.292750748,50000000,450
7e-05,0.26991265,50000000,450
8e-05,0.228636225,50000000,450
9e-05,0.19298411,50000000,450
0.0001,0.201835294,50000000,450
0.00011,0.196638365,50000000,450
0.00012,0.178421151,50000000,450
0.00013,0.173111573,50000000,450
0.00014,0.177001616,50000000,450
0.00015,0.182559172,50000000,450
0.00016,0.212434512,50000000,450
0.00017,0.236469673,50000000,450
0.00018,0.258553602,50000000,450
0.00019,0.273796303,50000000,450
0.0002,0.30316377,50000000,450
0.00021,0.315558684,50000000,450
0.00022,0.301019464,50000000,450
0.00023,0.280129131,50000000,450
0.00024,0.249915337,50000000,450
0.00025,0.222269276,50000000,450
0.00026,0.210669392,50000000,450
0.00027,0.198202605,50000000,450
0.00028,0.178273098,50000000,450
0.00029,0.200650053,50000000,450
0.0003,0.199519708,50000000,450
0.00031,0.216270678,50000000,450
0.00032,0.245453082,50000000,450
0.00033,0.237922615,50000000,450
0.00034,0.251204791,50000000,450
0.00035,0.274587659,50000000,450
0.00036,0.279635566,50000000,450
0.00037,0.278632561,50000000,450
0.00038,0.282589499,50000000,450
0.00039,0.276264452,50000000,450
0.0004,0.271540372,50000000,450
0.00041,0.255239518,50000000,450
0.00042,0.232404425,50000000,450
0.00043,0.215224605,50000000,450
0.00044,0.233021204,50000000,450
0.00045,0.220070715,50000000,450
0.00046,0.219171648,50000000,450
0.00047,0.228037664,50000000,450
0.00048,0.257542668,50000000,450
0.00049,0.259243696,50000000,450
0.0005,0.263994838,50000000,450
0.00051,0.270612008,50000000,450
0.00052,0.255127079,50000000,450
0.00053,0.270106043,50000000,450
0.00054,0.27396403,50000000,450
0.00055,0.278967519,50000000,450
0.00056,0.270469504,50000000,450
0.00057,0.298793281,50000000,450
0.00058,0.267304128,50000000,450
0.00059,0.27295575,50000000,450
0.0006,0.282538534,50000000,450
0.00061,0.281027071,50000000,450
0.00062,0.275521313,50000000,450
0.00063,0.278140824,50000000,450
0.00064,0.262321574,50000000,450
0.00065,0.280653183,50000000,450
0.00066,0.273312407,50000000,450
0.00067,0.271722983,50000000,450
0.00068,0.266253135,50000000,450
0.00069,0.256362959,50000000,450
0.0007,0.2556673,50000000,450
0.00071,0.27125035,50000000,450
0.00072,0.258909091,50000000,450
0.00073,0.263869147,50000000,450
0.00074,0.282239233,50000000,450
0.00075,0.285183353,50000000,450
0.00076,0.282975982,50000000,450
0.00077,0.29122109,50000000,450
0.00078,0.278256498,50000000,450
0.00079,0.266455301,50000000,450
0.0008,0.270318621,50000000,450
0.00081,0.257613305,50000000,450
0.00082,0.268249308,50000000,450
0.00083,0.270891616,50000000,450
0.00084,0.28347067,50000000,450
0.00085,0.26351024,50000000,450
0.00086,0.269121144,50000000,450
0.00087,0.264123688,50000000,450
0.00088,0.281615326,50000000,450
0.00089,0.279101081,50000000,450
0.0009,0.272319165,50000000,450
0.00091,0.299351976,50000000,450
0.00092,0.311797956,50000000,450
0.00093,0.302778438,50000000,450
0.00094,0.28790122,50000000,450
0.00095,0.290541564,50000000,450
0.00096,0.28592888,50000000,450
0.00097,0.292549584,50000000,450
0.00098,0.288649163,50000000,450
0.00099,0.29387437,50000000,450
0.001,0.286186848,50000000,450
0.00101,0.287645664,50000000,450
0.00102,0.277353513,50000000,450
0.00103,0.271891532,50000000,450
0.00104,0.287829365,50000000,450
0.00105,0.277635074,50000000,450
0.00106,0.283584791,50000000,450
0.00107,0.304140463,50000000,450
0.00108,0.303809883,50000000,450
0.00109,0.301233698,50000000,450
0.0011,0.306768733,50000000,450
0.00111,0.300788664,50000000,450
0.00112,0.283558107,50000000,450
0.00113,0.288496794,50000000,450
0.00114,0.288774829,50000000,450
0.00115,0.30806589,50000000,450
0.00116,0.311381598,50000000,450
0.00117,0.276297692,50000000,450
0.00118,0.30550741,50000000,450
0.00119,0.290947511,50000000,450
0.0012,0.313956633,50000000,450
0.00121,0.30346321,50000000,450
0.00122,0.308064823,50000000,450
0.00123,0.302597391,50000000,450
0.00124,0.311979672,50000000,450
0.00125,0.310389291,50000000,450
0.00126,0.317690327,50000000,450
0.00127,0.30976821,50000000,450
0.00128,0.299088248,50000000,450
0.00129,0.296159549,50000000,450
0.0013,0.294470593,50000000,450
0.00131,0.276651831,50000000,450
0.00132,0.293596925,50000000,450
0.00133,0.298004467,50000000,450
0.00134,0.292400989,50000000,450
0.00135,0.303934657,50000000,450
0.00136,0.311256499,50000000,450
0.00137,0.317832774,50000000,450
0.00138,0.306860762,50000000,450
0.00139,0.331009752,50000000,450
0.0014,0.324636318,50000000,450
0.00141,0.31567816,50000000,450
0.00142,0.308463037,50000000,450
0.00143,0.306955897,50000000,450
0.00144,0.30199877,50000000,450
0.00145,0.305209443,50000000,450
0.00146,0.304479019,50000000,450
0.00147,0.303397003,50000000,450
0.00148,0.29817013,50000000,450
0.00149,0.299316492,50000000,450
0.0015,0.298830242,50000000,450
0.00151,0.298766502,50000000,450
0.00152,0.309217581,50000000,450
0.00153,0.327243152,50000000,450
0.00154,0.326068902,50000000,450
0.00155,0.348748316,50000000,450
0.00156,0.320284959,50000000,450
0.00157,0.310420955,50000000,450
0.00158,0.32949118,50000000,450
0.00159,0.321363238,50000000,450
0.0016,0.305027081,50000000,450
0.00161,0.313571569,50000000,450
0.00162,0.303061422,50000000,450
0.00163,0.305155527,50000000,450
0.00164,0.31188523,50000000,450
0.00165,0.342872587,50000000,450
0.00166,0.33054612,50000000,450
0.00167,0.313151233,50000000,450
0.00168,0.318998461,50000000,450
0.00169,0.339144313,50000000,450
0.0017,0.341612272,50000000,450
0.00171,0.336622831,50000000,450
0.00172,0.336681303,50000000,450
0.00173,0.332071556,50000000,450
0.00174,0.319299842,50000000,450
0.00175,0.317833898,50000000,450
0.00176,0.311665121,50000000,450
0.00177,0.311256704,50000000,450
0.00178,0.316698131,50000000,450
0.00179,0.314192201,50000000,450
0.0018,0.312064088,50000000,450
0.00181,0.326145325,50000000,450
0.00182,0.320061979,50000000,450
0.00183,0.334029871,50000000,450
0.00184,0.336769264,50000000,450
0.00185,0.334998807,50000000,450
0.00186,0.324454734,50000000,450
0.00187,0.330021834,50000000,450
0.00188,0.345781316,50000000,450
0.00189,0.318013562,50000000,450
0.0019,0.318758751,50000000,450
0.00191,0.306303502,50000000,450
0.00192,0.298998158,50000000,450
0.00193,0.315736305,50000000,450
0.00194,0.299654766,50000000,450
0.00195,0.32350585,50000000,450
0.00196,0.308079322,50000000,450
0.00197,0.324147901,50000000,450
0.00198,0.34402644,50000000,450
0.00199,0.33288846,50000000,450
0.002,0.343501837,50000000,450
0.00201,0.333237127,50000000,450
0.00202,0.329642022,50000000,450
0.00203,0.335165627,50000000,450
0.00204,0.335294169,50000000,450
0.00205,0.337623451,50000000,450
0.00206,0.330436981,50000000,450
0.00207,0.306893439,50000000,450
0.00208,0.33281569,50000000,450
0.00209,0.322074911,50000000,450
0.0021,0.339028368,50000000,450
0.00211,0.336056552,50000000,450
0.00212,0.345667854,50000000,450
0.00213,0.346040806,50000000,450
0.00214,0.342433138,50000000,450
0.00215,0.339408064,50000000,450
0.00216,0.35775242,50000000,450
0.00217,0.346304045,50000000,450
0.00218,0.331251576,50000000,450
0.00219,0.346768195,50000000,450
0.0022,0.333491486,50000000,450
0.00221,0.335346419,50000000,450
0.00222,0.320034105,50000000,450
0.00223,0.333969715,50000000,450
0.00224,0.33227751,50000000,450
0.00225,0.330818501,50000000,450
0.00226,0.316579382,50000000,450
0.00227,0.32294246,50000000,450
0.00228,0.334616393,50000000,450
0.00229,0.335972918,50000000,450
0.0023,0.336208805,50000000,450
0.00231,0.347450524,50000000,450
0.00232,0.347382015,50000000,450
0.00233,0.33015696,50000000,450
0.00234,0.347208192,50000000,450
0.00235,0.347704142,50000000,450
0.00236,0.350082056,50000000,450
0.00237,0.336148129,50000000,450
0.00238,0.349976155,50000000,450
0.00239,0.329781077,50000000,450
0.0024,0.347106338,50000000,450
0.00241,0.351736423,50000000,450
0.00242,0.357736174,50000000,450
0.00243,0.360061103,50000000,450
0.00244,0.349665171,50000000,450
0.00245,0.338777235,50000000,450
0.00246,0.3420077,50000000,450
0.00247,0.34206768,50000000,450
0.00248,0.327918459,50000000,450
0.00249,0.332141432,50000000,450
0.0025,0.337966078,50000000,450
0.00251,0.344186744,50000000,450
0.00252,0.341708166,50000000,450
0.00253,0.355404762,50000000,450
0.00254,0.374198298,50000000,450
0.00255,0.351246027,50000000,450
0.00256,0.356626056,50000000,450
0.00257,0.372419728,50000000,450
0.00258,0.354162822,50000000,450
0.00259,0.346325695,50000000,450
0.0026,0.347475365,50000000,450
0.00261,0.343131208,50000000,450
0.00262,0.350199944,50000000,450
0.00263,0.343452598,50000000,450
0.00264,0.343133749,50000000,450
0.00265,0.350347989,50000000,450
0.00266,0.35411253,50000000,450
0.00267,0.344996722,50000000,450
0.00268,0.360866157,50000000,450
0.00269,0.366455644,50000000,450
0.0027,0.368808412,50000000,450
0.00271,0.379376678,50000000,450
0.00272,0.369704721,50000000,450
0.00273,0.353366735,50000000,450
0.00274,0.350826928,50000000,450
0.00275,0.350989759,50000000,450
0.00276,0.353186048,50000000,450
0.00277,0.360808078,50000000,450
0.00278,0.369361072,50000000,450
0.00279,0.347353187,50000000,450
0.0028,0.355209949,50000000,450
0.00281,0.360813638,50000000,450
0.00282,0.341991433,50000000,450
0.00283,0.343039148,50000000,450
0.00284,0.356841982,50000000,450
0.00285,0.35466204,50000000,450
0.00286,0.35035848,50000000,450
0.00287,0.35489798,50000000,450
0.00288,0.378765177,50000000,450
0.00289,0.36986898,50000000,450
0.0029,0.37756694,50000000,450
0.00291,0.375340216,50000000,450
0.00292,0.373010964,50000000,450
0.00293,0.360675492,50000000,450
0.00294,0.35958679,50000000,450
0.00295,0.376176818,50000000,450
0.00296,0.38192262,50000000,450
0.00297,0.37788667,50000000,450
0.00298,0.355358677,50000000,450
0.00299,0.369584838,50000000,450
0.003,0.378037996,50000000,450
0.00301,0.376159858,50000000,450
0.00302,0.383286102,50000000,450
0.00303,0.376350772,50000000,450
0.00304,0.370122688,50000000,450
0.00305,0.365034595,50000000,450
0.00306,0.366175269,50000000,450
0.00307,0.367026492,50000000,450
