strain,stress,strain_rate,temperature
1e-05,0.0,50000000,600
2e-05,0.015201237,50000000,600
3e-05,0.126355475,50000000,600
4e-05,0.242636947,50000000,600
5e-05,0.302083973,50000000,600
6e-05,0.348457424,50000000,600
7e-05,0.369846987,50000000,600
8e-05,0.363298819,50000000,600
9e-05,0.340948693,50000000,600
0.0001,0.276595076,50000000,600
0.00011,0.202562981,50000000,600
0.00012,0.138438713,50000000,600
0.00013,0.074879004,50000000,600
0.00014,0.011667859,50000000,600
0.00015,-0.008570692,50000000,600
0.00016,-0.020878802,50000000,600
0.00017,0.024594877,50000000,600
0.00018,0.089910447,50000000,600
0.00019,0.163268459,50000000,600
0.0002,0.268936682,50000000,600
0.00021,0.315129417,50000000,600
0.00022,0.352847381,50000000,600
0.00023,0.384287044,50000000,600
0.00024,0.348850693,50000000,600
0.00025,0.327019972,50000000,600
0.00026,0.252228344,50000000,600
0.00027,0.196191806,50000000,600
0.00028,0.149434537,50000000,600
0.00029,0.121023755,50000000,600
0.0003,0.103201675,50000000,600
0.00031,0.085856269,50000000,600
0.00032,0.107175717,50000000,600
0.00033,0.134529941,50000000,600
0.00034,0.187996523,50000000,600
0.00035,0.21850059,50000000,600
0.00036,0.241873295,50000000,600
0.00037,0.292056361,50000000,600
0.00038,0.3256226,50000000,600
0.00039,0.314963489,50000000,600
0.0004,0.320368054,50000000,600
0.00041,0.267708041,50000000,600
0.00042,0.207679711,50000000,600
0.00043,0.163157586,50000000,600
0.00044,0.137848212,50000000,600
0.00045,0.105265147,50000000,600
0.00046,0.112389065,50000000,600
0.00047,0.109536485,50000000,600
0.00048,0.156572469,50000000,600
0.00049,0.166469018,50000000,600
0.0005,0.205713929,50000000,600
0.00051,0.216881442,50000000,600
0.00052,0.263670506,50000000,600
0.00053,0.281886296,50000000,600
0.00054,0.279285947,50000000,600
0.00055,0.260168601,50000000,600
0.00056,0.265553586,50000000,600
0.00057,0.246219993,50000000,600
0.00058,0.218721819,50000000,600
0.00059,0.203730509,50000000,600
0.0006,0.179723969,50000000,600
0.00061,0.166406998,50000000,600
0.00062,0.183673072,50000000,600
0.00063,0.214499353,50000000,600
0.00064,0.217032255,50000000,600
0.00065,0.263526763,50000000,600
0.00066,0.259468444,50000000,600
0.00067,0.302779055,50000000,600
0.00068,0.312747806,50000000,600
0.00069,0.305891473,50000000,600
0.0007,0.291607091,50000000,600
0.00071,0.275015697,50000000,600
0.00072,0.237261075,50000000,600
0.00073,0.22588709,50000000,600
0.00074,0.195672474,50000000,600
0.00075,0.210718978,50000000,600
0.00076,0.192533213,50000000,600
0.00077,0.193415733,50000000,600
0.00078,0.212136333,50000000,600
0.00079,0.224607682,50000000,600
0.0008,0.244864819,50000000,600
0.00081,0.261997765,50000000,600
0.00082,0.264634789,50000000,600
0.00083,0.269935041,50000000,600
0.00084,0.26353757,50000000,600
0.00085,0.27629854,50000000,600
0.00086,0.260863729,50000000,600
0.00087,0.252250339,50000000,600
0.00088,0.245103806,50000000,600
0.00089,0.209010191,50000000,600
0.0009,0.209942776,50000000,600
0.00091,0.196681402,50000000,600
0.00092,0.192787769,50000000,600
0.00093,0.195857024,50000000,600
0.00094,0.20637473,50000000,600
0.00095,0.239583261,50000000,600
0.00096,0.241594314,50000000,600
0.00097,0.246915405,50000000,600
0.00098,0.247971421,50000000,600
0.00099,0.273362978,50000000,600
0.001,0.26485668,50000000,600
0.00101,0.255166156,50000000,600
0.00102,0.243817062,50000000,600
0.00103,0.241873386,50000000,600
0.00104,0.262563938,50000000,600
0.00105,0.253459656,50000000,600
0.00106,0.26737037,50000000,600
0.00107,0.247421339,50000000,600
0.00108,0.252400321,50000000,600
0.00109,0.247486954,50000000,600
0.0011,0.234838424,50000000,600
0.00111,0.248159245,50000000,600
0.00112,0.26381162,50000000,600
0.00113,0.271125783,50000000,600
0.00114,0.278661633,50000000,600
0.00115,0.280312541,50000000,600
0.00116,0.282255994,50000000,600
0.00117,0.291522839,50000000,600
0.00118,0.264345169,50000000,600
0.00119,0.263868104,50000000,600
0.0012,0.254333856,50000000,600
0.00121,0.247999429,50000000,600
0.00122,0.255150478,50000000,600
0.00123,0.249953871,50000000,600
0.00124,0.271988878,50000000,600
0.00125,0.264422345,50000000,600
0.00126,0.273883897,50000000,600
0.00127,0.275681001,50000000,600
0.00128,0.286749585,50000000,600
0.00129,0.277987721,50000000,600
0.0013,0.277570386,50000000,600
0.00131,0.278928537,50000000,600
0.00132,0.29295552,50000000,600
0.00133,0.281778895,50000000,600
0.00134,0.277084298,50000000,600
0.00135,0.255978182,50000000,600
0.00136,0.260810975,50000000,600
0.00137,0.239635808,50000000,600
0.00138,0.244996647,50000000,600
0.00139,0.252296994,50000000,600
0.0014,0.255672092,50000000,600
0.00141,0.240465883,50000000,600
0.00142,0.252982547,50000000,600
0.00143,0.273504315,50000000,600
0.00144,0.271577836,50000000,600
0.00145,0.248047913,50000000,600
0.00146,0.274183597,50000000,600
0.00147,0.271118687,50000000,600
0.00148,0.269554082,50000000,600
0.00149,0.271393448,50000000,600
0.0015,0.274507844,50000000,600
0.00151,0.252091971,50000000,600
0.00152,0.271410028,50000000,600
0.00153,0.262807021,50000000,600
0.00154,0.258088501,50000000,600
0.00155,0.267022395,50000000,600
0.00156,0.256632936,50000000,600
0.00157,0.268412613,50000000,600
0.00158,0.268572566,50000000,600
0.00159,0.286378665,50000000,600
0.0016,0.302353304,50000000,600
0.00161,0.28817128,50000000,600
0.00162,0.296956981,50000000,600
0.00163,0.28550007,50000000,600
0.00164,0.296803405,50000000,600
0.00165,0.288023323,50000000,600
0.00166,0.309133007,50000000,600
0.00167,0.271433831,50000000,600
0.00168,0.264544801,50000000,600
0.00169,0.282858254,50000000,600
0.0017,0.243040537,50000000,600
0.00171,0.261771356,50000000,600
0.00172,0.274872225,50000000,600
0.00173,0.266555726,50000000,600
0.00174,0.285235102,50000000,600
0.00175,0.29730708,50000000,600
0.00176,0.290497339,50000000,600
0.00177,0.308306353,50000000,600
0.00178,0.30516684,50000000,600
0.00179,0.309910388,50000000,600
0.0018,0.293406461,50000000,600
0.00181,0.290485248,50000000,600
0.00182,0.282392639,50000000,600
0.00183,0.303954874,50000000,600
0.00184,0.286792902,50000000,600
0.00185,0.269569982,50000000,600
0.00186,0.257319951,50000000,600
0.00187,0.256383949,50000000,600
0.00188,0.269561835,50000000,600
0.00189,0.257811247,50000000,600
0.0019,0.260773712,50000000,600
0.00191,0.267882964,50000000,600
0.00192,0.278965375,50000000,600
0.00193,0.296375413,50000000,600
0.00194,0.289567363,50000000,600
0.00195,0.308504217,50000000,600
0.00196,0.300548647,50000000,600
0.00197,0.278274563,50000000,600
0.00198,0.263277949,50000000,600
0.00199,0.302014179,50000000,600
0.002,0.286491116,50000000,600
0.00201,0.280830406,50000000,600
0.00202,0.261279037,50000000,600
0.00203,0.262140816,50000000,600
0.00204,0.293130289,50000000,600
0.00205,0.286896205,50000000,600
0.00206,0.291649891,50000000,600
0.00207,0.287949715,50000000,600
